"Releve","X_L93","Y_L93","Z_m","hauteur","sol_nu","SpRichness","group","Asttri","Elyath","Halpor","Junger","Junmar","Limvul","Phraus","Plamar","Pucmar","Salobs","Saleme","Sarper","Scimar","Spaang","Spaver","Trimar"
"H37",370663.3928,6416407.97,1.59939759,46,3.8,6,"C",2.8,0,2.8,0,0,0,0,0.8,3.6,0,0,0,2.6,0,0,7.4
"Q29",369758.1864,6415666.089,2.060857143,55,3,11,"D",4,0,3,0,4,5,0,3,2,0,0,2,0,0,8,0
"T62",369907.6225,6415614.914,1.194871795,30,8,2,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0
"B03",370519.6829,6417158.436,2.343589744,200,2,5,"B",0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0
"E11",370616.7166,6416807.973,2.210697674,60,1,3,"B",0,6,0,0,0,0,3,0,0,0,0,0,0,0,8,0
"H09",370414.8778,6416559.862,1.865757576,130,4,6,"D",0,0,7,0,7,0,5,0,0,0,0,0,1.4,0,0,0.6
"C14",370918.4523,6417055.266,1.876052632,68,3.6,7,"A",0,6.4,3.4,1.6,0.8,0,0,0,0,0.2,0,0,0,0,2.2,0
"T53",370107.8251,6415663.228,1.360547945,50,5,7,"E",2,0,0,0,0,0,0,0,6,7,0,4,0,3,0,6
"K24",371212.8254,6416403.472,1.820952381,40,2,7,"D",3,0,9,0,3,3,0,3,2,0,0,0,0,0,0,0
"R27",370010.3824,6415963.741,1.792222222,80,4,9,"D",2,0,5,0,8,6,0,5,4,2,0,0,0,0,0,3
"U04",371210.7802,6416153.726,1.766129032,40,2,4,"C",0,0,9,0,4,0,0,0,0,0,3,4,0,0,0,0
"B14",370468.9164,6417058.946,2.165185185,200,6,8,"B",0,4,0,0,3,2,2,0,0,0,0,0,0,0,0,0
"A14",370667.8921,6416957.412,2.392142857,32,7,8,"A",0,1.2,0,0,0.8,0,0.6,1.4,0,0,0,0,0,0,4.6,0
"F10",370716.2044,6416757.206,2.099512195,55,2,3,"B",0,7,0,0,0,0,3,0,0,0,0,0,0,0,7,0
"G22",370913.953,6416505.824,1.9625,55,2,2,"B",0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"O02",371113.3376,6416454.239,1.709615385,55,4,9,"A",1,2,3,0,4,3,0,2,0,0,0,0,0,0,7,0
"O12",371312.3132,6416352.705,1.53734375,17,5.4,6,"D",0,0,4.8,0,0.4,0,0,0,0,1.2,0,0,0,0,0,0
"O16",371212.0073,6416303.574,1.61673913,35,2.6,6,"D",1,0,8,0,4,2,0,0,0,1,0,0,0,0,0,0
"S33",370108.6431,6415763.126,1.349090909,20,5,11,"E",4,0,4,0,2,3,0,0,5,3,8,4,0,0,0,5
"S01",369860.1281,6415915.018,2.295,65,2,8,"A",0,2,0,4,6,4,4,0,0,0,0,0,0,0,5,0
"U17",371410.1648,6416102.141,1.016818182,25,7,3,"F",0,0,0,0,0,0,0,0,0,2,7,0,0,3,0,0
"I09",371462.5675,6416401.428,2.026206897,33,2,12,"D",0.2,0.8,4,0,4,4.2,0,3.8,0.6,0.4,0,0,0.8,0,0.8,0
"G19",370914.362,6416555.773,1.976744186,65,2,3,"B",0,7,0,0,0,0,2,0,0,0,0,0,0,0,8,0
